p,d,q,AIC,BIC,,,,
0,1,0,15899.26955,15904.77888,,"(0, 1, 0)",15899.26955,15904.77888
0,1,1,15045.28649,15056.30516,,"(0, 1, 1)",15045.28649,15056.30516
0,1,2,15023.16935,15039.69735,,"(0, 1, 2)",15023.16935,15039.69735
0,1,3,15023.3083,15045.34564,,"(0, 1, 3)",15023.3083,15045.34564
0,1,4,14913.07667,14940.62335,,"(0, 1, 4)",14913.07667,14940.62335
0,1,5,14914.39059,14947.4466,,"(0, 1, 5)",14914.39059,14947.4466
0,1,6,14868.42049,14906.98583,,,,
1,1,0,15553.85405,15564.87273,,"(1, 1, 0)",15553.85405,15564.87273
1,1,1,15023.44881,15039.97681,,"(1, 1, 1)",15023.44881,15039.97681
1,1,2,15030.30591,15052.34325,,"(1, 1, 2)",15030.30591,15052.34325
1,1,3,15016.68575,15044.23243,,"(1, 1, 3)",15016.68575,15044.23243
1,1,4,14913.86387,14946.91988,,"(1, 1, 4)",14913.86387,14946.91988
1,1,5,14883.25223,14921.81757,,"(1, 1, 5)",14883.25223,14921.81757
1,1,6,14869.25254,14913.32723,,,,
2,1,0,15494.15853,15510.68654,,"(2, 1, 0)",15494.15853,15510.68654
2,1,1,15023.06155,15045.09889,,"(2, 1, 1)",15023.06155,15045.09889
2,1,2,15026.52063,15054.06731,,"(2, 1, 2)",15026.52063,15054.06731
2,1,3,14958.77362,14991.82963,,"(2, 1, 3)",14958.77362,14991.82963
2,1,4,14914.74735,14953.3127,,"(2, 1, 4)",14914.74735,14953.3127
2,1,5,14713.43239,14757.50707,,"(2, 1, 5)",14713.43239,14757.50707
2,1,6,14774.17968,14823.7637,,,,
3,1,0,15392.84455,15414.88189,,"(3, 1, 0)",15392.84455,15414.88189
3,1,1,14935.44514,14962.99182,,"(3, 1, 1)",14935.44514,14962.99182
3,1,2,14829.88886,14862.94487,,"(3, 1, 2)",14829.88886,14862.94487
3,1,3,14402.51461,14441.07996,,"(3, 1, 3)",14402.51461,14441.07996
3,1,4,14454.37901,14498.45369,,"(3, 1, 4)",14454.37901,14498.45369
3,1,5,14395.38353,14444.96755,,"(3, 1, 5)",14395.38353,14444.96755
3,1,6,14417.05439,14472.14774,,,,
4,1,0,15246.91591,15274.46259,,"(4, 1, 0)",15246.91591,15274.46259
4,1,1,14856.11829,14889.1743,,"(4, 1, 1)",14856.11829,14889.1743
4,1,2,14862.24212,14900.80747,,"(4, 1, 2)",14862.24212,14900.80747
4,1,3,14782.43538,14826.51006,,"(4, 1, 3)",14782.43538,14826.51006
4,1,4,14427.31363,14476.89764,,"(4, 1, 4)",14427.31363,14476.89764
4,1,5,14203.88668,14258.98003,,"(4, 1, 5)",14203.88668,14258.98003
4,1,6,14215.55124,14276.15393,,,,
5,1,0,15101.38189,15134.4379,,"(5, 1, 0)",15101.38189,15134.4379
5,1,1,14780.73941,14819.30475,,"(5, 1, 1)",14780.73941,14819.30475
5,1,2,14491.11354,14535.18822,,"(5, 1, 2)",14491.11354,14535.18822
5,1,3,14681.87638,14731.4604,,"(5, 1, 3)",14681.87638,14731.4604
5,1,4,14412.00062,14467.09398,,"(5, 1, 4)",14412.00062,14467.09398
5,1,5,14364.07939,14424.68207,,,,
5,1,6,14247.49468,14313.6067,,,,
6,1,0,14394.42859,14432.99394,,,,
6,1,1,14396.01279,14440.08748,,,,
6,1,2,14396.41073,14445.99475,,,,
6,1,3,14396.33822,14451.43158,,,,
6,1,4,14282.02546,14342.62815,,,,
6,1,5,14114.43702,14180.54905,,,,
6,1,6,14107.02232,14178.64368,,,,
,,,,,,,,
