p,q,AIC,BIC
0,0,15899.269548829845,15904.778884095862
0,1,15045.286490548797,15056.30516108083
0,2,15023.169345354827,15039.697351152876
0,3,15023.308295218096,15045.345636282162
0,4,14913.076673672642,14940.623350002725
0,5,14914.390592393509,14947.446603989609
0,6,14868.42048715769,14906.985834019806
1,0,15553.854054685115,15564.872725217148
1,1,15023.448809069998,15039.976814868047
1,2,15030.305908293365,15052.343249357431
1,3,15016.685754462662,15044.232430792745
1,4,14913.8638651582,14946.9198767543
1,5,14883.252227073433,14921.81757393555
1,6,14869.252543275274,14913.327225403405
2,0,15494.158530031544,15510.686535829593
2,1,15023.061547049543,15045.098888113609
2,2,15026.520630948708,15054.06730727879
2,3,14958.773615611553,14991.829627207653
2,4,14914.747350661935,14953.312697524052
2,5,14713.432390456725,14757.507072584856
2,6,14774.179684560748,14823.763701954897
3,0,15392.844546414202,15414.881887478268
3,1,14935.445143299816,14962.991819629899
3,2,14829.888860902985,14862.944872499085
3,3,14402.51461282924,14441.079959691357
3,4,14454.37900951934,14498.453691647472
3,5,14395.383534745615,14444.967552139764
3,6,14417.054391097792,14472.147743757958
4,0,15246.915912332617,15274.4625886627
4,1,14856.11828987314,14889.17430146924
4,2,14862.242119689472,14900.807466551589
4,3,14782.435378588994,14826.510060717126
4,4,14427.313625235252,14476.897642629401
4,5,14203.886682041342,14258.980034701508
4,6,14215.551244638067,14276.15393256425
5,0,15101.38189236617,15134.437903962269
5,1,14780.73940711499,14819.304753977107
5,2,14491.113541290808,14535.18822341894
5,3,14681.876384132465,14731.460401526614
5,4,14412.000622625024,14467.09397528519
5,5,14364.079385268731,14424.682073194914
5,6,14247.49467866604,14313.60670185824
6,0,14394.42858889213,14432.993935754246
6,1,14396.0127929662,14440.087475094333
6,2,14396.410733949515,14445.994751343664
6,3,14396.338224272506,14451.431576932671
6,4,14282.025459965558,14342.62814789174
6,5,14114.437024952456,14180.549048144656
6,6,14107.022321861139,14178.643680319356
